,clr.Ga,clr.Au,clr.Ag,clr.Cu,clr.Pb,clr.Zn,clr.Mo,clr.Ni,clr.Co,clr.Cd,clr.Fe,clr.Mn,clr.Te,clr.Ba,clr.Cr,clr.V,clr.Sn,clr.W,clr.Ln,clr.Al,clr.Mg,clr.Ca,clr.Na,clr.K,clr.Sr,clr.Li,clr.Nb,clr.REE,clr.Ta,clr.Ti,clr.Zr,clr.As,clr.Sb,clr.Hg,clr.Pt,clr.Pd,Cum.Prop.Exp.
PC1,0.1111,-0.4187,-0.0312,0.0896,-0.2824,-0.1928,-0.1645,0.019,-0.0401,-0.2062,0.0644,0.1315,-0.1154,-0.2432,0.0907,0.09,-0.0267,-0.0267,0.0247,0.1782,0.1831,0.2379,0.0513,-0.131,0.1999,-0.0043,0.0887,0.0855,-0.0267,-0.0331,0.4449,-0.249,-0.0487,-0.0918,0.0766,0.1656,0.3136
PC2,-0.001,0.756,-0.0333,0.236,-0.1102,-0.1062,-0.147,-0.2289,-0.0977,-0.1774,0.0899,0.1259,-0.1713,-0.2357,-0.0706,0.1105,-0.0408,-0.0408,-0.0232,0.0418,0.0943,0.0603,-0.0927,0.0514,0.0233,-0.0021,0.1248,-0.0295,-0.0408,-0.1539,-0.0058,0.0095,-0.029,-0.0604,-0.0008,0.1757,0.484
PC3,0.2806,-0.2311,0.0476,0.1539,0.152,-0.0531,0.1393,-0.3889,-0.131,-0.0833,-0.0137,0.19,0.087,-0.0102,-0.4159,-0.1431,0.0372,0.0372,0.0619,0.1498,0.057,-0.0271,-0.1596,0.1117,-0.0892,0.179,-0.2182,0.0415,0.0372,-0.3344,0.016,0.1202,0.0716,0.2992,-0.0022,0.0312,0.5724
PC4,-0.2302,-0.2862,0.0418,0.004,-0.0675,0.0497,-0.0659,-0.3349,-0.0713,-0.0244,0.1511,0.1084,-0.0673,-0.0872,-0.1732,0.2986,0.0391,0.0391,0.0699,-0.1102,-0.0753,0.1267,0.1902,0.1823,0.2924,-0.0873,0.3654,-0.1355,0.0391,0.1156,-0.3971,0.158,0.0501,0.0325,-0.0933,-0.0471,0.6428
PC5,0.2464,0.0873,0.0531,-0.0493,-0.0895,0.0657,0.0058,-0.242,0.0532,0.1136,0.0852,-0.0334,0.0464,0.2192,-0.2555,0.1606,0.0654,0.0654,0.0231,0.1096,-0.1556,-0.1838,-0.0786,0.0258,-0.091,-0.0592,0.1631,0.1261,0.0654,0.2621,0.0099,-0.6844,0.0003,-0.0488,-0.0038,-0.0776,0.7002
PC6,-0.2459,0.1823,-0.014,-0.157,0.1488,0.0044,0.0891,-0.1885,-0.0893,0.0193,-0.1322,-0.0404,0.1076,0.1101,-0.2984,-0.0901,-0.0116,-0.0116,0.0789,-0.0212,-0.0838,0.1621,0.2207,-0.023,0.2189,-0.0908,-0.0242,-0.0429,-0.0116,0.1056,0.6073,0.099,-0.0089,-0.0745,-0.2761,-0.2183,0.7464
PC7,0.2818,-0.0564,-0.0612,0.0128,-0.3583,0.0817,-0.2133,0.0441,0.0669,-0.0143,0.1143,-0.137,-0.2164,0.1901,-0.1279,0.1475,-0.0515,-0.0515,-0.0606,-0.0405,-0.0459,-0.1565,-0.078,0.13,-0.2215,0.3125,0.1411,0.0692,-0.0515,0.1483,0.2126,0.4516,-0.0456,-0.0789,-0.2054,-0.1322,0.7838
PC8,-0.6583,-0.1,0.0343,0.0557,-0.1274,0.0229,-0.0134,-0.1403,0.0628,0.0792,0.0181,-0.0203,0.0783,0.1394,-0.1571,-0.0256,0.0448,0.0448,-0.1464,0.0142,0.1054,-0.0973,-0.2327,0.1075,-0.2167,0.1322,-0.0125,0.1617,0.0448,0.0918,0.1357,0.0284,0.0189,-0.1071,0.2514,0.3828,0.8197
PC9,0.0875,0.0231,-0.0239,0.1522,-0.1458,-0.0484,0.0622,0.0851,0.0581,0.0903,-0.1004,-0.1425,0.0678,0.0247,-0.2437,-0.1627,-0.0141,-0.0141,-0.0975,0.0733,0.2561,0.2986,0.2115,0.2737,0.1643,0.1702,-0.2898,0.1826,-0.0141,0.0593,-0.3054,-0.077,-0.0612,-0.4706,-0.0863,-0.0431,0.8485
PC10,-0.1299,0.1197,-0.0507,-0.0715,-0.3895,-0.155,-0.0298,0.0663,0.023,-0.0185,-0.0813,-0.1166,0.0037,0.0665,-0.0355,-0.0938,-0.0365,-0.0365,-0.1171,0.0284,0.0714,0.224,0.1274,0.0274,0.0137,0.0492,-0.1064,0.0955,-0.0365,0.1887,-0.1018,-0.1021,-0.0316,0.7523,-0.0745,-0.0421,0.8742
PC11,0.2639,0.0589,0.0023,-0.1938,-0.0951,0.1227,0.0133,-0.0983,0.0224,0.1161,-0.0232,-0.1061,0.0031,-0.1833,-0.3104,0.0109,-0.0067,-0.0067,-0.2222,-0.095,-0.1067,0.1341,0.1457,-0.3198,0.0182,-0.1654,-0.0805,-0.04,-0.0067,0.1805,0.0077,0.2342,0.0495,-0.0269,0.5907,0.1132,0.8935
PC12,-0.1531,0.0139,0.1408,0.0258,-0.0964,0.1555,0.1247,0.0413,0.0385,0.0602,0.1671,0.2061,0.054,-0.3742,-0.0647,0.0754,0.105,0.105,-0.118,0.0992,0.3378,0.0361,-0.1407,-0.313,-0.2569,-0.0041,-0.0567,0.0462,0.105,0.137,-0.0304,0.0179,0.1996,-0.0384,-0.1712,-0.474,0.9091
PC13,0.0964,-0.0604,-0.0197,0.0745,0.2052,0.2817,-0.075,0.0571,0.0756,0.1494,-0.0042,-0.1149,-0.0423,-0.0466,-0.1404,0.0536,-0.029,-0.029,-0.24,-0.0145,0.0642,0.0944,-0.0702,-0.2945,0.0426,-0.1309,0.0211,0.0795,-0.029,0.032,-0.0501,-0.0053,0.0043,0.0837,-0.5491,0.5293,0.9237
PC14,-0.0409,-0.0612,-0.0735,0.1176,0.475,0.1701,-0.1701,-0.0371,-0.0493,-0.0252,-0.015,-0.112,-0.1901,-0.2948,0.0236,0.0087,-0.0953,-0.0953,-0.3034,-0.0732,0.0736,-0.0287,0.2898,0.2616,-0.1839,0.3148,0.0636,-0.0307,-0.0953,0.1494,0.1186,-0.2021,-0.0404,0.1341,0.1363,-0.1192,0.9353
PC15,0.0447,-0.056,0.0359,0.354,-0.1609,-0.1886,0.3611,0.0112,0.0676,-0.013,-0.0325,-0.0321,-0.0192,-0.2264,-0.0162,-0.0903,-0.0238,-0.0238,0.0911,-0.0584,-0.0674,-0.3146,0.375,0.1706,-0.2838,-0.3671,-0.0059,-0.0272,-0.0238,0.1816,0.0878,0.0648,0.1289,-0.0048,-0.1164,0.1778,0.9451
PC16,-0.1417,-0.0113,0.0303,0.2682,-0.1314,0.1731,0.0265,0.1978,0.1693,0.3128,0.0778,-0.2554,-0.1472,-0.0673,-0.1866,0.0724,-0.0354,-0.0354,0.0165,-0.0712,-0.1601,-0.0388,0.0463,-0.0084,0.1631,-0.0696,0.1196,0.1894,-0.0354,-0.5813,0.0966,-0.1003,0.1174,0.0976,0.11,-0.2077,0.953
PC17,0.0681,0.0451,0.1263,-0.4831,-0.205,0.1416,-0.0108,0.0334,0.0258,0.1785,0.035,0.0224,0.0959,-0.4422,0.0262,-0.0359,0.0669,0.0669,0.1756,-0.2638,-0.085,0.0031,-0.0615,0.3588,-0.0087,0.183,-0.1274,-0.1053,0.0669,-0.1055,0.1025,-0.1206,0.1489,-0.0026,-0.1344,0.2209,0.9606
PC18,-0.0842,0.0536,0.0798,-0.1397,-0.1104,-0.1186,-0.0737,-0.0505,-0.003,-0.0028,0.0366,0.1338,0.1182,0.0729,0.0392,0.014,0.0753,0.0753,-0.1734,0.2218,-0.1755,-0.2343,0.5649,-0.3349,-0.0597,0.3979,0.0065,-0.0497,0.0753,-0.2536,-0.0899,-0.0321,0.0908,-0.0818,-0.1026,0.1146,0.9676
PC19,0.0708,-0.0129,0.0476,0.081,-0.2056,0.2148,0.1994,-0.0888,-0.0499,-0.0299,0.0678,0.1562,0.0128,0.2385,0.2125,0.0679,0.0382,0.0382,-0.6284,-0.0667,0.0167,0.0111,-0.0361,0.2272,0.1402,-0.1535,-0.1527,-0.3738,0.0382,-0.1376,0.141,-0.0622,0.0497,-0.0119,-0.0164,-0.0437,0.973
PC20,-0.0854,0.0086,0.0122,0.1373,-0.067,0.3452,-0.4195,0.0094,0.0148,-0.0256,0.0608,0.0868,-0.1102,-0.0043,-0.0295,-0.0792,-0.0218,-0.0218,0.2302,0.2343,0.0271,-0.3741,0.0649,0.0165,0.3039,-0.1106,-0.4647,-0.1195,-0.0218,0.1847,-0.0077,0.0099,0.1143,0.0606,0.0469,-0.0057,0.9781
PC21,0.0254,-0.013,0.0978,-0.1473,0.1417,-0.2053,-0.5019,-0.0391,0.15,0.0688,0.1251,0.0869,0.0514,0.0776,0.0411,0.0649,0.0876,0.0876,-0.1385,0.1059,-0.0699,0.2073,0.1305,0.2386,-0.3157,-0.4457,-0.1346,0.2202,0.0876,-0.1603,0.0195,0.0878,0.0875,-0.019,-0.0387,-0.062,0.9824
PC22,-0.0514,-0.0236,0.0694,0.3546,0.024,-0.1218,-0.0056,-0.106,0.0432,0.0728,0.1146,0.0229,-0.0959,-0.0041,0.1488,0.0995,0.0098,0.0098,0.08,-0.1774,-0.5511,0.3711,-0.1164,-0.1495,-0.0764,0.2335,-0.3488,-0.0666,0.0098,0.1818,0.0169,-0.0511,0.1868,-0.0484,-0.0493,-0.006,0.9863
PC23,0.0057,0.0081,0.0359,-0.0461,0.0951,-0.3196,0.0636,0.0282,0.063,0.0911,-0.0628,-0.0995,0.1114,-0.3179,0.0543,0.0485,0.0128,0.0128,-0.345,0.3678,-0.2962,-0.2472,-0.269,0.1342,0.377,0.0369,0.0248,0.2078,0.0128,0.1576,-0.0006,0.149,0.0108,0.0121,-0.0535,-0.0638,0.9896
PC24,-0.0683,0.0072,-0.0842,-0.0996,-0.0201,0.269,0.2668,-0.1339,0.1501,-0.1828,0.214,0.0176,-0.0899,-0.1179,0.1084,0.1755,0.0673,0.0673,0.0558,0.0808,-0.1637,0.0149,0.1126,0.0138,-0.0485,-0.0458,-0.253,0.286,0.0673,-0.0661,-0.0017,0.0497,-0.6547,0.0264,-0.0167,-0.0037,0.9919
PC25,0.0869,-0.0186,-0.0228,0.3288,-0.1465,0.1106,-0.3034,-0.27,-0.0348,0.2187,-0.2049,-0.0678,0.5053,-0.1383,0.2272,-0.1994,0.1173,0.1173,-0.0042,-0.2098,0.01,-0.0481,0.0053,-0.0786,0.0147,0.0132,0.1424,0.0239,0.1173,0.0049,0.0423,0.0488,-0.3092,0.0232,-0.0139,-0.088,0.9938
PC26,-0.0146,-0.0078,-0.037,-0.0641,-0.1443,0.4063,0.0862,-0.1705,-0.2217,0.0484,-0.2012,0.0308,-0.0859,-0.0279,0.2434,-0.2846,-0.1314,-0.1314,0.048,0.453,-0.2297,0.2363,0.0006,0.0784,-0.1737,-0.0583,0.2133,0.1643,-0.1314,-0.0118,-0.0587,0.0432,0.2011,-0.0672,0.0001,0,0.9955
PC27,0.0436,-0.0083,0.0132,-0.1332,0.0311,-0.1959,0.1014,-0.5181,0.0836,0.4248,0.1162,-0.24,-0.3055,0.0672,0.3481,0.004,-0.0643,-0.0643,0.0673,-0.0104,0.3385,-0.0828,0.0386,-0.0994,0.0833,0.014,-0.1284,0.0516,-0.0643,-0.0203,0.0218,0.0414,0.0735,-0.003,-0.0143,-0.0107,0.997
PC28,-0.0413,-0.0167,-0.0815,0.0506,-0.0099,-0.0985,-0.0007,0.1622,-0.2229,0.4599,-0.0134,-0.0773,0.0319,-0.0535,-0.1095,0.2728,0.0053,0.0053,0.1187,0.4149,0.0111,0.1131,-0.0198,0.062,-0.1997,-0.0136,-0.046,-0.498,0.0053,-0.0184,0.0233,0.0137,-0.3125,0.0248,0.0147,0.0435,0.9981
PC29,0.0086,0.0059,-0.0964,-0.0008,-0.0276,0.0424,0.0246,0.0317,-0.5719,-0.0076,-0.1993,-0.0664,0.1927,0.0283,0.0923,0.5587,-0.0553,-0.0553,0.007,-0.1454,0.0667,-0.1023,0.0599,0.0036,-0.0155,-0.0326,-0.223,0.3523,-0.0553,-0.0343,0.0053,0.014,0.1759,0.0011,0.0097,0.008,0.999
PC30,-0.0065,-0.0019,-0.1715,-0.0113,-0.0044,0.0876,0.0145,-0.1796,0.5558,-0.2811,-0.3278,-0.2505,0.2657,-0.0506,0.0511,0.366,-0.0718,-0.0718,0.0865,0.1669,0.0702,0.0655,-0.0279,0.0119,-0.0777,0.0341,-0.0489,-0.2094,-0.0718,-0.0891,0.0001,-0.001,0.1991,-0.0046,0.0039,-0.0198,0.9995
PC31,0.0016,0.0005,0.0089,-0.0144,-0.0211,-0.0314,-0.0001,0.0164,0.2688,0.312,-0.428,0.6681,-0.1241,0.0223,-0.0453,0.1358,-0.1886,-0.1886,-0.0225,-0.1288,-0.0181,-0.0506,0.0104,0.0029,0.0152,0.0269,-0.0107,0.1096,-0.1886,0.0265,-0.0064,-0.0024,-0.1445,0.0075,0.0086,-0.0278,0.9998
PC32,-0.0014,0.0019,-0.9107,-0.0225,0.0053,-0.0264,0.0297,0.0111,0.0419,0.1384,0.2057,0.1851,0.052,-0.0209,-0.0107,-0.0898,0.0878,0.0878,-0.0169,-0.0319,-0.0338,-0.0163,0.0072,0.0184,0.0199,-0.0023,0.0057,0.0385,0.0878,0.0071,0.0033,-0.0127,0.1764,-0.0068,-0.0066,-0.0015,0.9999
PC33,0.0015,0.002,0.054,-0.0173,0.0054,-0.0083,0.0116,-0.0037,0.0332,0.0388,0.5367,0.0648,0.4822,0.0121,-0.0045,-0.0319,-0.3945,-0.3945,0.0036,-0.0042,0.0016,0.003,0.0087,0.003,0.0011,0.0036,0.0019,0.0014,-0.3945,0.0078,-0.0017,-0.003,-0.0285,0.0016,0.0073,-0.0007,1
